"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"flotus" 0 0 0 0 0 0 0 7.5 3.17460317460317 6.17977528089888 2.36220472440945 3.1496062992126 1.08108108108108 1.97628458498024 2.73972602739726 1.20772946859903 0.921658986175115 0.364298724954463 0.481927710843373 0.210526315789474 0.194931773879142 0.401606425702811 0
"mariabartiromo" 0 0.197628458498024 0.194174757281553 0.374531835205993 0 0 0 0.833333333333333 0 0 0.78740157480315 0 1.62162162162162 1.18577075098814 0 1.69082125603865 0.691244239631336 0.910746812386157 2.65060240963855 1.05263157894737 1.16959064327485 1.40562248995984 0.578034682080925
"oreillyfactor" 1.47991543340381 1.97628458498024 2.71844660194175 3.37078651685393 2.77777777777778 4.02298850574713 3.44827586206897 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"usdot" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.52631578947368 8.18713450292398 0 0
"tuckercarlson" 0 0 0 0 0 0 0 0.833333333333333 0 1.12359550561798 0.78740157480315 0 3.24324324324324 0.395256916996047 2.05479452054795 2.65700483091787 1.61290322580645 0.910746812386157 0.72289156626506 0.210526315789474 0.974658869395711 0.602409638554217 1.73410404624277
"washingtonpost" 0.422832980972516 0.395256916996047 1.74757281553398 0.374531835205993 1.66666666666667 0.574712643678161 1.72413793103448 0 1.58730158730159 0.561797752808989 2.36220472440945 0 0 0 0 0.483091787439614 0.460829493087558 0.728597449908925 0.240963855421687 1.89473684210526 0.194931773879142 0.200803212851406 0
"abc" 0 2.76679841897233 1.35922330097087 0.749063670411985 1.11111111111111 0.574712643678161 2.58620689655172 0 0 0.561797752808989 1.5748031496063 0 0 0.790513833992095 0 0 0.230414746543779 0.364298724954463 0 0.421052631578947 0.194931773879142 0.401606425702811 0
"ingrahamangle" 0 0.197628458498024 0 0 0.555555555555556 0 0 0 0.793650793650794 0.561797752808989 0 0 0 0.395256916996047 2.05479452054795 0.72463768115942 1.61290322580645 1.09289617486339 2.89156626506024 0 0.584795321637427 0.401606425702811 0.578034682080925
"senatemajldr" 0 0 0 0.374531835205993 0 0 0.862068965517241 0 1.58730158730159 2.24719101123596 2.36220472440945 0 0 0.790513833992095 0.684931506849315 0.483091787439614 0.691244239631336 1.27504553734062 0.72289156626506 0.210526315789474 0.584795321637427 0.803212851405622 2.3121387283237
"jebbush" 0 1.18577075098814 6.60194174757282 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"briankempga" 0 0 0 0 0 0 0 0 0 0 0 0 0 1.18577075098814 0 0 0 0 0 0 0 1.40562248995984 16.7630057803468
"megynkelly" 1.05708245243129 1.38339920948617 2.33009708737864 4.8689138576779 0.555555555555556 0.574712643678161 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"morning" 0.845665961945032 2.37154150197628 1.55339805825243 1.49812734082397 3.33333333333333 0.574712643678161 0 0 1.58730158730159 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"vp" 0 0 0 0 0 0 3.44827586206897 5.83333333333333 3.17460317460317 1.68539325842697 0 0 1.08108108108108 0.790513833992095 0.684931506849315 0.241545893719807 0.230414746543779 0.546448087431694 0 1.05263157894737 0.584795321637427 0.200803212851406 0
"marklevinshow" 0.422832980972516 0.197628458498024 0 0 0 0 0 0 0 0 0 0 0 0.395256916996047 0.684931506849315 1.20772946859903 1.15207373271889 1.82149362477231 0.963855421686747 0.421052631578947 0 0.803212851405622 0.578034682080925
"wsj" 0.845665961945032 2.17391304347826 0.776699029126214 1.87265917602996 0 0.574712643678161 0.862068965517241 0 0 0.561797752808989 0.78740157480315 0 0 0 0.684931506849315 0.241545893719807 0.460829493087558 0 0 0 0.584795321637427 0 0.578034682080925
"fema" 0 0 0 0 0 0 0 0 2.38095238095238 2.24719101123596 0 0 0.540540540540541 3.55731225296443 0 0.241545893719807 0.460829493087558 0.728597449908925 0 1.26315789473684 0.584795321637427 0.401606425702811 0
"judgejeanine" 0 0 0.194174757281553 0.749063670411985 0.555555555555556 0 0 1.66666666666667 0 0 1.5748031496063 0 0.540540540540541 0.790513833992095 0 0.966183574879227 0.691244239631336 0.910746812386157 1.44578313253012 0.842105263157895 0 0.401606425702811 0
"hillaryclinton" 0.211416490486258 0.395256916996047 0 0 0 17.2413793103448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"karlrove" 1.69133192389006 1.77865612648221 2.33009708737864 0.374531835205993 0.555555555555556 0 0 0 0 0 0 0 0 0 0 0 0 0 0.240963855421687 0 0 0.200803212851406 0
"nbcnews" 0 0 0.194174757281553 0.749063670411985 0.555555555555556 0 6.03448275862069 1.66666666666667 0 3.37078651685393 0 0 0.540540540540541 0 0.684931506849315 0.241545893719807 0.230414746543779 0.182149362477231 0.240963855421687 0.210526315789474 0.389863547758285 0.602409638554217 0
"foxbusiness" 0 0.592885375494071 0.194174757281553 0 0.555555555555556 0 0 0.833333333333333 0 1.12359550561798 0 1.5748031496063 0.540540540540541 1.18577075098814 0 0.241545893719807 0.460829493087558 0.728597449908925 0.481927710843373 0.421052631578947 0.194931773879142 0.602409638554217 0
"dbongino" 0 0 0 0 0.555555555555556 0 0 0 0 0 0 0 0 0.395256916996047 0 5.31400966183575 0 0.364298724954463 0.240963855421687 0 0 0 0
"lindseygrahamsc" 0.211416490486258 0 0.194174757281553 1.49812734082397 0 0 0 0 0 0 0 0 1.08108108108108 0.395256916996047 0 0.483091787439614 0.921658986175115 0.728597449908925 0.963855421686747 0.421052631578947 0.194931773879142 0 0
"mike" 0 0 0 0 5 5.74712643678161 2.58620689655172 0 0 0 0 0 0.540540540540541 0 0 0 0 0 0 0 0 0.200803212851406 0.578034682080925
"minutes" 0 1.38339920948617 0 0 0.555555555555556 0.574712643678161 0 0 0 0 0 0 0 0.790513833992095 0.684931506849315 0.241545893719807 0 0.364298724954463 0 0.842105263157895 0 1.20481927710843 0
"jessebwatters" 0.211416490486258 0 0.194174757281553 0.374531835205993 0 1.14942528735632 0 0 0 0 0 0 0 0 2.05479452054795 0.966183574879227 0.921658986175115 0.546448087431694 0.240963855421687 0 0.194931773879142 0.200803212851406 0.578034682080925
"varneyco" 0 0 0 0 0 0 0 0 0.793650793650794 0.561797752808989 0 0 0.540540540540541 0.395256916996047 0.684931506849315 0.72463768115942 0.691244239631336 0.728597449908925 0.481927710843373 0 0.194931773879142 0.803212851405622 0.578034682080925
"msnbc" 0.422832980972516 0 0.194174757281553 0 0.555555555555556 0 0.862068965517241 0 0 0 1.5748031496063 0 0 0.395256916996047 0.684931506849315 0.966183574879227 0.921658986175115 0.728597449908925 0 0 0 0.200803212851406 0
"chucktodd" 0.845665961945032 0.988142292490119 1.35922330097087 1.12359550561798 0 0 0.862068965517241 0 0 0 0 0 0 0 0 0 0.230414746543779 0 0 0 0 0 0
"dhsgov" 0 0 0 0 0 0 0.862068965517241 0 3.17460317460317 0 1.5748031496063 0.78740157480315 0 0.395256916996047 0.684931506849315 0.483091787439614 0.230414746543779 0 0 0.631578947368421 0.779727095516569 0 0.578034682080925
"eddierispone" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.82513661202186 0 0 0 0 0
"stevehiltonx" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.684931506849315 0.72463768115942 0.691244239631336 0.728597449908925 0.481927710843373 0.210526315789474 0.779727095516569 0.401606425702811 0.578034682080925
"emmanuelmacron" 0 0 0 0 0 0 0 0 5.55555555555556 0.561797752808989 0 3.1496062992126 0.540540540540541 1.18577075098814 0.684931506849315 0.241545893719807 0.460829493087558 0 0 0 0 0 0
"greggjarrett" 0 0 0 0 0 0 0 0 0 0 0 0.78740157480315 1.08108108108108 1.18577075098814 0.684931506849315 0.72463768115942 0.460829493087558 0.546448087431694 0.963855421686747 0.210526315789474 0 0 0
"nypost" 0.422832980972516 0.197628458498024 0 0.374531835205993 0 0 0 0 0 0.561797752808989 0.78740157480315 0 0 0 0 0 0 0.364298724954463 0 0 0.389863547758285 1.80722891566265 0.578034682080925
