"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"for" 1.09236047895806 1.01154195305408 1.07113802765977 0.952020679654498 0.757709251101322 0.973681104685472 1.03246301995433 1.13703659836551 1.02560148056755 1.24535846900885 1.06972198088619 0.992920842143973 1.24318494997304 1.17473244207416 1.11000111000111 1.0889458272328 1.04444132903407 1.03043319320051 1.00076755033359 1.08860333314629 1.27392190055375 1.09475273688184 0.959813419447434
"i" 1.29542749107205 1.70535598495656 1.70387779083431 1.82207931404073 1.40969162995595 1.06219756874779 1.01260796187829 0.746180267677366 0.94077729796422 0.851185375606969 0.809079061685491 0.680334651098649 0.883709783715775 0.760332960974379 1.08410108410108 0.93033186920449 1.02107575120333 1.00758545055748 0.891539233630513 0.965153470624544 0.863627234384415 0.824210393859318 0.726587728740581
"will" 0.805265737693439 1.15419530540786 1.08469673687065 1.12855431561692 1.10425844346549 1.05039537353948 1.12181078129654 1.04228354850172 0.902220851326342 0.982576406740931 0.6624674196351 0.859612025374644 0.757893475525732 0.868437173435192 0.899100899100899 0.872376769155686 0.74068881723445 0.619173825626028 0.67013048355671 1.0521295101285 0.889449975611855 0.989891363617298 0.753498385360603
"on" 1.0573489251453 1.75074568797821 1.06209888818584 1.24204022444991 0.81057268722467 0.826153664581612 0.85376749726993 0.983062892336847 0.879086983343615 0.731219651528135 0.890529973935708 0.933161717385308 1.15331615840872 0.879247594681273 0.802900802900803 0.780868716447047 0.778073741763634 0.792816669713032 0.791167266930389 0.72947646035576 0.811981751929533 0.68579338115012 0.654825977753857
"that" 0.602198725579441 0.570613409415121 0.700533309228961 0.598953407729651 0.646108663729809 0.507494393957276 0.665144445547503 0.734336136444392 0.570635410240592 0.651242502142245 0.798218940052129 0.850418313873311 0.955604816967228 0.684660012251811 0.976800976800977 0.97913616398243 1.09818215804477 1.0167245476147 0.918108283639369 0.777172998148252 0.691475626201475 0.574640325489703 0.69967707212056
"great" 1.00133043904488 0.953183763454805 0.840639971074754 0.926801588802724 0.751835535976505 0.696329517290216 0.704854561699593 0.935686367404951 0.917643429981493 1.09111682376464 0.787358818418766 0.809046612117312 0.778862860224073 0.875644120932579 0.625300625300625 0.729014153245486 0.78741997289593 0.674008407969293 0.732124933577375 0.830480893328096 0.80050497805067 0.645946059309593 0.556153570147112
"be" 0.728240319305371 1.18013227856309 0.899394377655247 0.983544543219217 0.646108663729809 0.596010858019592 0.903405142460042 0.722492005211418 0.616903146206046 0.908311910882605 0.678757602085143 0.74469063160798 0.748906596369301 0.774746855969154 0.817700817700818 0.796120058565154 0.801439319594374 0.644306342533358 0.596327566865443 0.830480893328096 0.728775141307778 0.736126840317101 0.789379260853965
"you" 1.17638820810868 0.959668006743613 1.17508813160987 1.47531681482883 1.20411160058737 1.25693378968488 0.595651742281346 0.485609380551937 0.60919185687847 0.651242502142245 0.450695047784535 0.459685575066654 0.464322089748966 0.727901697236136 0.44030044030044 0.558199121522694 0.602831908033086 0.694571376348017 0.785263033595088 0.878177431120588 0.625484176398015 0.926974539658571 0.735557947613922
"are" 0.581191793291786 0.363117624173259 0.370604718430805 0.472857953470777 0.493392070484582 0.430780125103269 0.585724213243324 0.604050692881677 0.74799506477483 0.639817195087118 1.01542137271937 0.873402592626643 0.808819124078845 0.872040647183885 0.832500832500833 0.725963884821864 0.869199495303519 0.749405958691281 0.729172816909724 0.85573200157118 0.728775141307778 0.679501698754247 0.744528166487262
"our" 0.532175617953925 0.155621838931397 0.239537196058935 0.29001954479541 0.534508076358297 0.37767024666588 0.585724213243324 0.604050692881677 0.717149907464528 0.976863753213368 0.982841007819288 0.933161717385308 0.868731651788389 0.868437173435192 0.814000814000814 0.747315763787213 0.810785550726669 0.543776274904039 0.720316466906772 0.794007070310308 0.777551430292945 0.689987836080701 0.592034445640474
"it" 0.616203347104544 0.544676436259888 0.497152671065715 0.516991362461383 0.487518355359765 0.37767024666588 0.843839968231907 0.805400923842236 0.555212831585441 0.565552699228792 0.553866203301477 0.657350372345316 0.793840992151459 0.681056538503117 0.791800791800792 0.719863347974622 0.773400626197486 0.811094863827454 0.856113833618705 0.698613994725324 0.768943849883798 0.614487647330229 0.88805166846071
