"2015_2" "2015_3" "2016_0" "2016_1" "2016_2" "2016_3" "2017_0" "2017_1" "2017_2" "2017_3" "2018_0" "2018_1" "2018_2" "2018_3" "2019_0" "2019_1" "2019_2" "2019_3" "2020_0" "2020_1" "2020_2" "2020_3" "2021_0"
"scotus" 0 0 0 0 0 0 0 1.0989010989011 0 0 0 0 5.26315789473684 0 0 0 0 0 0 0 0 0.869565217391304 0
"takebackday" 0 0 0 0 0 0 0 0 0 0 0 3.27868852459016 0 0 0 3.7037037037037 0 2.56410256410256 0 0 0 0 0
"th" 0 0 0 0 0 0.205761316872428 0 0 0 0 0 0 0 2.67857142857143 0 0 2 0 0 0 0 0 0
"tickets" 0 0 0 0.221238938053097 1.29032258064516 0 0 0 0 0 0 0 0 0 0 0 0 1.28205128205128 0 0 0 0 0
"trumprally" 0 0 0 0 0 0.823045267489712 0 0 0 0 0 0 0 0 0 1.85185185185185 0 0 0.934579439252336 0 0 0 0
"uswomensopen" 0 0 0 0 0 0 0 0 4.05405405405405 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"votetrumppence" 0 0 0 0 0 1.23456790123457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"wef" 0 0 0 0 0 0 0 0 0 0 11.5384615384615 0 0 0 0 0 0 0 0 0 0 0 0
"cpac" 0 0 0 0 0 0 0 0 0 0 7.69230769230769 0 0 0 0 0 0 0 0.934579439252336 0 0 0 0
"election" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.80373831775701 0 0 0.869565217391304 0
"fake" 0 0 0 0 0 0 0 0 2.7027027027027 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 0 0
"gopconvention" 0 0 0 0 1.61290322580645 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hurricanemichael" 0 0 0 0 0 0 0 0 0 0 0 0 0 4.46428571428571 0 0 0 0 0 0 0 0 0
"ia" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.94174757281553 0 1.30434782608696 0
"iacp" 0 0 0 0 0 0 0 0 0 0 0 0 0 3.57142857142857 0 0 0 1.28205128205128 0 0 0 0 0
"in" 0 0 0 0 0 0 2.38095238095238 0 0 0 0 0 0 0 0 0 0 0 0 0 2.4 0.434782608695652 0
"kateslaw" 0 0 0 0 0 0 0 0 3.37837837837838 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"mo" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
"noko" 0 0 0 0 0 0 0 0 0 2.7027027027027 1.92307692307692 0 0 0 0 0 0 0 0 0 0 0 0
"ok" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.2 0.434782608695652 0
"prstrong" 0 0 0 0 0 0 0 0 0 3.37837837837838 0 0 0 0 0 0 0 0 0 0 0 0 0
"sc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.4 0.869565217391304 0
"scprimary" 0 0 0.9765625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"usaatunga" 0 0 0 0 0 0 0 0 0 3.37837837837838 0 0 0 0 0 0 0 0 0 0 0 0 0
"va" 1.44927536231884 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.8 1.30434782608696 0
"votetrumpnv" 0 0 0.9765625 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"afbf" 0 0 0 0 0 0 0 0 0 0 3.84615384615385 0 0 0 2.63157894736842 0 0 0 0.934579439252336 0 0 0 0
"america" 0 0 0 0 0 0 0 0 0 0 3.84615384615385 1.63934426229508 0 0 0 0 0 0 0 0 0.8 0 0
"armynavygame" 0 0 0 0 0 0 0 0 0 0 1.92307692307692 0 0 0 5.26315789473684 0 0 0 0.934579439252336 0 0 0 0
"ca" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.88349514563107 0 0 0
"caresact" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2.9126213592233 0.8 0 0
"cnndebate" 0 2.27272727272727 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"dow" 0 0 0 0 0 0 0 0 0.675675675675676 2.02702702702703 0 0 0 0 0 0 0 0 0 0 0 0 0
"electionday" 0 0 0 0 0 0.205761316872428 0 0 0 0 0 0 0 0 2.63157894736842 0 0 1.28205128205128 0 0 0 0.434782608695652 0
"fl" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.934579439252336 0 0 1.30434782608696 0
"flashbackfriday" 0 0 0 0 0.645161290322581 0 0 0 0.675675675675676 0.675675675675676 0 0 0 0 0 0 0 0 0 0 0 0 0
"hannity" 0 0.568181818181818 0.1953125 0 0.32258064516129 0 0 0 0 0 0 0 0 0 0 1.85185185185185 0 0 0 0 0 0 0
"il" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.73913043478261 0
